,subject,value,hemi,region,sex,age,yeo_label
235,36422,0.048142081690427795,right,131,M,15.932,Visual
236,36574,0.04543920150799152,right,131,M,16.041,Visual
237,36657,0.04274657044085856,right,131,F,16.255,Visual
238,36352,0.04329874768244666,right,131,M,16.444,Visual
239,35949,0.048364430164791916,right,131,M,16.956,Visual
240,35671,0.04581295364026981,right,131,F,16.992,Visual
241,35545,0.043801244948666676,right,131,F,17.129,Visual
242,35580,0.04834738392233938,right,131,M,17.273,Visual
243,35306,0.044046858918443066,right,131,M,17.614,Visual
244,34839,0.043083640904156416,right,131,F,18.022,Visual
245,35241,0.043712329654479985,right,131,F,18.114,Visual
246,34884,0.04401851461913574,right,131,M,18.311,Visual
247,33825,0.045530078538504576,right,131,M,18.855,Visual
248,33734,0.046873662723787235,right,131,M,19.082,Visual
249,35253,0.04603065788981868,right,131,M,19.154,Visual
250,33278,0.04438258392298003,right,131,F,19.764,Visual
251,33199,0.04365353153932048,right,131,F,19.901,Visual
252,33002,0.04206685542088437,right,131,F,20.339,Visual
253,33882,0.04633944207774743,right,131,F,21.607,Visual
254,32924,0.042021015377332306,right,131,F,22.563,Visual
255,29949,0.04333726464365656,right,131,F,26.428,Visual
256,49134,0.04034928319365176,left,151,F,1.131,SomatoMotor
257,49112,0.04179628894783046,left,151,F,1.982,SomatoMotor
258,48233,0.04139652703244422,left,151,M,1.988,SomatoMotor
259,49050,0.04516608137233044,left,151,F,1.993,SomatoMotor
260,49041,0.04195454783888993,left,151,M,1.996,SomatoMotor
261,49225,0.040565050115494945,left,151,F,1.999,SomatoMotor
262,47979,0.04400010501457989,left,151,M,2.001,SomatoMotor
263,49196,0.04806277490836499,left,151,F,2.004,SomatoMotor
264,48184,0.04319764005210427,left,151,M,2.007,SomatoMotor
265,49078,0.04017030992099582,left,151,M,2.01,SomatoMotor
266,42019,0.04060833798558565,left,151,M,3.816,SomatoMotor
267,41807,0.03992181705348169,left,151,M,3.904,SomatoMotor
268,41716,0.04116890593337843,left,151,M,3.907,SomatoMotor
269,41854,0.04339773658875061,left,151,M,3.915,SomatoMotor
270,41651,0.04076665024727869,left,151,M,3.948,SomatoMotor
271,41547,0.04116856418449715,left,151,M,3.973,SomatoMotor
272,41519,0.04523673846436149,left,151,M,3.981,SomatoMotor
273,41463,0.04239108195590289,left,151,M,4.074,SomatoMotor
274,41458,0.042206806872577066,left,151,M,4.112,SomatoMotor
275,40033,0.04076192495158196,left,151,M,5.899,SomatoMotor
276,39066,0.04148967091726899,left,151,M,6.877,SomatoMotor
277,44444,0.03997850426524629,left,151,F,7.149,SomatoMotor
278,37972,0.04331643905231449,left,151,M,8.016,SomatoMotor
279,36824,0.04441979331711809,left,151,M,9.775,SomatoMotor
280,36464,0.039368679943799785,left,151,M,9.945,SomatoMotor
281,36291,0.04537165385716069,left,151,M,10.036,SomatoMotor
282,41759,0.03770140047671158,left,151,F,10.259,SomatoMotor
283,41645,0.03801233106198449,left,151,F,10.322,SomatoMotor
284,41372,0.039757737145973804,left,151,F,10.957,SomatoMotor
285,41083,0.04210071731858755,left,151,F,11.154,SomatoMotor
286,40706,0.04094962190999335,left,151,F,11.231,SomatoMotor
287,34847,0.04407015625228303,left,151,M,12.027,SomatoMotor
288,39834,0.04196949842183532,left,151,F,12.255,SomatoMotor
289,39599,0.040422700954081105,left,151,F,12.329,SomatoMotor
290,34110,0.04243677896662793,left,151,M,12.929,SomatoMotor
291,39437,0.04050812752629605,left,151,F,13.005,SomatoMotor
292,33111,0.040254250500764546,left,151,M,13.992,SomatoMotor
293,32479,0.042401698067315294,left,151,M,14.921,SomatoMotor
294,32287,0.0408564233745879,left,151,M,14.984,SomatoMotor
295,37169,0.04163474047705236,left,151,F,15.107,SomatoMotor
296,37693,0.04159652023485184,left,151,F,15.14,SomatoMotor
297,36831,0.04133469894213293,left,151,F,15.775,SomatoMotor
298,36374,0.03971690091319931,left,151,F,15.836,SomatoMotor
299,36422,0.04254308532474266,left,151,M,15.932,SomatoMotor
300,36574,0.04114716098714005,left,151,M,16.041,SomatoMotor
301,36657,0.041790212521656434,left,151,F,16.255,SomatoMotor
302,36352,0.04311860877050522,left,151,M,16.444,SomatoMotor
303,35949,0.042358270395304376,left,151,M,16.956,SomatoMotor
304,35671,0.03872127144875016,left,151,F,16.992,SomatoMotor
305,35545,0.04118048936990178,left,151,F,17.129,SomatoMotor
306,35580,0.04274026217171151,left,151,M,17.273,SomatoMotor
307,35306,0.04245180888944898,left,151,M,17.614,SomatoMotor
308,34839,0.04165872675189028,left,151,F,18.022,SomatoMotor
309,35241,0.042314889026716734,left,151,F,18.114,SomatoMotor
310,34884,0.040865437113143346,left,151,M,18.311,SomatoMotor
311,33825,0.04236196232561134,left,151,M,18.855,SomatoMotor
312,33734,0.04047844561368652,left,151,M,19.082,SomatoMotor
313,35253,0.04104085695119516,left,151,M,19.154,SomatoMotor
314,33278,0.042134594952128415,left,151,F,19.764,SomatoMotor
315,33199,0.04405557970354338,left,151,F,19.901,SomatoMotor
316,33002,0.039865703105932834,left,151,F,20.339,SomatoMotor
317,33882,0.042616528360953115,left,151,F,21.607,SomatoMotor
318,32924,0.04280581317311441,left,151,F,22.563,SomatoMotor
319,29949,0.04067445478274795,left,151,F,26.428,SomatoMotor
320,49134,0.04094883273961547,right,151,F,1.131,SomatoMotor
321,49112,0.039167419326699184,right,151,F,1.982,SomatoMotor
